zipcode,order,sigma2
33068,"(1, 0, 2)",6.818334376487706e-05
33073,"(1, 0, 2)",7.201327754138883e-05
33131,"(1, 0, 4)",3.257606220153279e-05
33133,"(4, 0, 3)",0.0002333243617050399
33137,"(1, 0, 4)",4.962649117702593e-05
33138,"(3, 0, 2)",0.00018164557780873952
33139,"(1, 0, 4)",4.573419283528481e-05
33140,"(1, 0, 4)",0.00014676253475560656
33143,"(3, 0, 2)",0.00012046781689582653
33145,"(2, 0, 2)",0.00018519628449642698
33157,"(1, 0, 4)",0.00012248696693916564
33160,"(1, 0, 4)",7.60594461412274e-05
33161,"(4, 0, 0)",0.0003088231484211252
33162,"(2, 0, 2)",0.0001794286314099265
33181,"(0, 0, 3)",0.00014204626629913254
33196,"(1, 0, 3)",9.149484344040496e-05
33301,"(1, 0, 2)",8.177957930203118e-05
33304,"(1, 0, 2)",9.29484737464195e-05
33305,"(1, 0, 2)",0.0002535496942843053
33308,"(0, 0, 4)",7.69537833969312e-05
33309,"(2, 0, 2)",5.5468160773959777e-05
33311,"(0, 0, 3)",8.784775852603961e-05
33312,"(1, 0, 0)",0.00019296051973374744
33313,"(4, 0, 3)",0.0001225034135783738
33314,"(3, 0, 0)",0.00013897565214447474
33316,"(1, 0, 3)",0.00011768743346399204
33328,"(2, 0, 2)",0.00010157738430700495
33334,"(2, 0, 2)",0.00012821847252650196
33401,"(1, 0, 2)",0.0001345362297613796
33404,"(3, 0, 0)",0.00022681521857336427
33409,"(1, 0, 2)",6.10518063519642e-05
33410,"(1, 0, 4)",8.588464711699845e-05
33411,"(1, 0, 2)",5.927836518003555e-05
33414,"(4, 0, 4)",0.00018955858617772123
33418,"(4, 0, 0)",0.00030020161951671055
33428,"(2, 0, 3)",6.241745401892345e-05
33431,"(4, 0, 4)",0.0001315764735945884
33432,"(2, 0, 2)",8.272693153083675e-05
33433,"(2, 0, 4)",7.980303694161362e-05
33435,"(2, 0, 2)",0.0001663537665875616
33442,"(1, 0, 0)",0.00029883803322456725
33444,"(1, 0, 2)",0.0001992044496528403
33458,"(1, 0, 2)",0.00010038152827514676
33460,"(0, 0, 0)",0.0002809842427768089
33487,"(0, 0, 0)",0.0002512298296191441
33496,"(1, 0, 2)",0.00019316784402992262
33510,"(2, 0, 2)",0.00010182305960522098
33543,"(0, 0, 3)",7.168795372229571e-05
33544,"(0, 0, 3)",7.251839852296464e-05
33547,"(1, 0, 2)",0.00010881681132458683
33569,"(2, 0, 3)",5.60623903185393e-05
33570,"(0, 0, 4)",0.00017037322394443483
33572,"(1, 0, 3)",0.00011164939598884207
33578,"(2, 0, 2)",4.273305860118675e-05
33579,"(1, 0, 2)",6.601833941079777e-05
33594,"(0, 0, 2)",4.9469109571227515e-05
33596,"(2, 0, 1)",0.00013404629424297132
33604,"(0, 0, 3)",8.175672238937604e-05
33606,"(2, 0, 2)",6.437051982211396e-05
33607,"(0, 0, 3)",9.10081239659757e-05
33609,"(2, 0, 2)",0.00010056666582675014
33610,"(2, 0, 2)",9.248010121666205e-05
33611,"(1, 0, 2)",5.94490060363475e-05
33615,"(4, 0, 0)",0.00010609686674818606
33617,"(1, 0, 3)",8.92694256801742e-05
33619,"(1, 0, 2)",9.312645918638408e-05
33624,"(1, 0, 2)",8.963751540693962e-05
33626,"(2, 0, 2)",6.019629197541849e-05
33629,"(0, 0, 3)",0.00015799886970094019
33701,"(2, 0, 2)",7.990403378189643e-05
33705,"(2, 0, 2)",0.0001476734978820218
